Column1.1,Column1.2,Column1.3,Column1.4,Column1.5
121, Coders & Developers, People reading about software development techniques and products.,26-05-2016 14:57,23-05-2018 11:30
123, Military Servicemembers & Veterans, People visiting websites about military benefits.,26-05-2016 14:57,23-05-2018 11:30
124, Healthcare Discount Shoppers, Consumers researching discounted and tax-free drug offers.,26-05-2016 14:57,23-05-2018 11:30
125, Postal Employees, People buying postal employee uniforms and equipment,26-05-2016 14:57,28-10-2016 15:50
126, Soccer Fans, People who love visiting websites and reading about soccer.,26-05-2016 14:57,23-05-2018 11:30
128, Kitchen & Bathroom Remodelers, Consumers researching kitchen and bath design.,26-05-2016 14:57,23-05-2018 11:30
129, Aftermarket Accessories Shoppers, Consumers shopping for car maintenance products.,26-05-2016 14:57,23-05-2018 11:30
130, Automotive Safety Researchers, Consumers researching car safety ratings.,26-05-2016 14:57,23-05-2018 11:30
131, Android Fans, Readers of Android news and product reviews.,26-05-2016 14:57,23-05-2018 11:30
132, Apple Fans, Readers of Apple news and product reviews.,26-05-2016 14:57,23-05-2018 11:30
133, High End Camera Shoppers - Dupe, Consumers shopping for high end cameras and camera accessories.,26-05-2016 14:57,22-08-2018 18:16
134, Home Printer Shoppers, Consumers shopping for a printer.,26-05-2016 14:57,23-05-2018 11:30
135, Major Appliance Shoppers, Consumers shopping for major home appliances.,26-05-2016 14:57,23-05-2018 11:30
136, Tablet Researchers, Consumers reading reviews and comparing tablet devices.,26-05-2016 14:57,23-05-2018 16:19
137, Online Alcohol Shoppers, Consumers shopping for wine and liquor online.,26-05-2016 14:57,23-05-2018 11:30
138, Home Kitchen Bakers, Consumers researching home baking recipes.,26-05-2016 14:57,23-05-2018 11:30
139, Makeup Researchers, People reading about new beauty products.,26-05-2016 14:57,23-05-2018 11:30
140, Pet Owners, People shopping for pet food and researching pet wellness.,26-05-2016 14:57,23-05-2018 11:30
141, Skin Care Researchers, People reading about skin care techniques.,26-05-2016 14:57,23-05-2018 11:30
142, Credit Card Researchers, Consumers comparing credit card offers.,26-05-2016 14:57,23-05-2018 11:30
143, Health Insurance Researchers, Consumers researching healthcare options.,26-05-2016 14:57,23-05-2018 11:30
145, Property Insurance Researchers, Consumers researching property and homeowner insurance options.,26-05-2016 14:57,23-05-2018 11:30
146, Audio Equipment Researchers, Consumers reading reviews of high end stereo equipment.,26-05-2016 14:57,23-05-2018 11:30
147, Broadway Fans, People researching Broadway show reviews and shopping for tickets.,26-05-2016 14:57,23-05-2018 11:30
148, Celebrity Gossip Fans, Readers of online celebrity gossip websites.,26-05-2016 14:57,23-05-2018 11:30
149, Streaming Radio Listeners, Consumers listening to online streaming music services.,26-05-2016 14:57,23-05-2018 11:30
150, TV Junkies, Consumers researching TV listings.,26-05-2016 14:57,23-05-2018 11:30
151, Big & Tall Men, Consumers shopping for big and tall mens apparel.,26-05-2016 14:57,23-05-2018 11:30
153, Phone Accessory Shoppers, Consumers in-market for phone accessories.,26-05-2016 14:57,23-05-2018 11:30
154, Prepaid Smartphone Shoppers, Consumers in-market for a prepaid smartphone.,26-05-2016 14:57,23-05-2018 11:30
155, Business Travelers, Users of business travel planning and expense reimbursement tools.,26-05-2016 14:57,23-05-2018 11:30
157, Car Rental Shoppers, Consumers making online rental car bookings.,26-05-2016 14:57,23-05-2018 11:30
158, Flight and Hotel Shoppers, Consumers using online airfare comparison tools.,26-05-2016 14:57,23-05-2018 11:30
160, Sightseeing Travelers, Consumers reading online reviews of local attractions and tours.,26-05-2016 14:57,23-05-2018 11:30
161, Travel Reward Points Enthusiasts, Consumers comparing travel rewards programs.,26-05-2016 14:57,23-05-2018 11:30
162, Retirees, People using online retirement discount and health benefits services.,26-05-2016 14:57,23-05-2018 11:30
163, Federal Employees, People visiting government employee benefits websites.,26-05-2016 14:57,23-05-2018 11:30
164, Conservative News Readers, People reading right-leaning financial news websites.,26-05-2016 14:57,23-05-2018 11:30
165, Liberal News Readers, People reading left-leaning financial news websites.,26-05-2016 14:57,23-05-2018 11:30
166, Doves, People reading anti-war publications,26-05-2016 14:57,20-10-2017 11:11
168, Social Conservatives, People reading right-leaning social issues websites.,26-05-2016 14:57,23-05-2018 11:30
169, Social Liberals, People reading left-leaning social issues websites.,26-05-2016 14:57,23-05-2018 11:30
170, Voters, People researching voter registration options.,26-05-2016 14:57,23-05-2018 11:30
171, Shoe Shoppers, Consumers shopping for mass market shoes.,26-05-2016 14:57,23-05-2018 11:30
4847, Readers of Hispanic Content, People reading news from Hispanic media sources.,09-06-2016 16:28,23-05-2018 16:19
4848, Working Parents, People with young children researching daycare options.,09-06-2016 16:28,27-12-2017 12:31
4852, Health & Fitness, ,09-06-2016 16:28,28-03-2017 11:55
4855, Entertainment & Tabloid Magazine Readers, Avid readers of online content about the entertainment industry.,09-06-2016 16:28,07-12-2017 12:35
4857, Business Accounting Software Researchers, Professionals researching accounting software products.,09-06-2016 16:28,23-05-2018 11:30
4858, Business Filing Researchers, Professionals researching products and services to file a business.,09-06-2016 16:28,23-05-2018 11:30
4859, Business Logistics Managers, Professionals responsible for day-to-day business logistics.,09-06-2016 16:28,23-05-2018 11:30
4861, IT Decision Makers, Professionals researching and comparing IT solutions.,09-06-2016 16:28,23-05-2018 11:30
4866, Small Business Employees, ,09-06-2016 16:28,27-02-2018 14:07
4867, Sweepstakes Enthusiasts, Consumers visiting sweepstakes sites.,09-06-2016 16:28,23-05-2018 11:30
4869, Womens Fitness Enthusiasts, Consumers researching health and fitness trends and techniques for women.,09-06-2016 16:28,23-05-2018 11:30
4870, Tech-Savvy Moms, People reading tech sites geared to mothers.,09-06-2016 16:28,23-05-2018 11:30
4872, Readers of Mexican Content, People reading news from Mexican media sources.,09-06-2016 16:28,07-12-2018 11:59
4873, TV Game Show Fans, People searching for and watching TV game shows online.,09-06-2016 16:28,23-05-2018 16:19
4894, Credit Union Researchers, People researching and comparing credit unions for their financial needs.,11-08-2016 12:08,27-12-2017 12:31
4895, Mature Parents, Parents who had children later in life.,11-08-2016 12:12,23-05-2018 11:30
4896, Streaming Music Enthusiasts, People visiting sites that offer digital music streaming.,11-08-2016 12:12,23-05-2018 16:19
4897, Parents of Teenagers Going to College, People researching and comparing academic programs and college admission applications with their teenagers.,11-08-2016 12:12,27-12-2017 12:31
4898, Cosmetics and Beauty Shoppers, Consumers comparing and shopping for cosmetics and beauty products.,11-08-2016 12:12,27-12-2017 12:31
4899, Readers of Japanese Content, People reading news from Japanese media sources.,11-08-2016 12:13,23-05-2018 16:19
4902, Yogis, Active fans of yoga.,07-09-2016 16:12,23-05-2018 11:30
4903, Asthma Sufferers, People researching asthma trends and treatment options.,07-09-2016 16:12,23-05-2018 11:30
4904, Adult Acne Sufferers, People researching acne trends and treatment options.,07-09-2016 16:12,23-05-2018 11:30
4905, Heartburn Sufferers, People researching heartburn trends and treatment options.,07-09-2016 16:12,23-05-2018 11:30
4906, Sinus Researchers, People researching sinus condition trends and treatment options.,07-09-2016 16:12,23-05-2018 11:30
4907, Headache and Migraine Sufferers, People researching headache and migraine treatment options.,07-09-2016 16:12,23-05-2018 11:30
4908, Back Pain Sufferers, People researching back pain trends and treatment options.,07-09-2016 16:12,23-05-2018 11:30
4909, First Aid Researchers, People researching products and services related to first aid.,07-09-2016 16:12,23-05-2018 11:30
4910, Cholesterol Researchers, People researching cholesterol trends and treatment options.,07-09-2016 16:12,23-05-2018 11:30
4911, Dieters, Consumers reading content about diet and weight loss.,07-09-2016 16:12,23-05-2018 11:30
4912, Vitamin Shoppers, Consumers in-market for vitamins.,07-09-2016 16:12,23-05-2018 11:30
4913, Womens Health Researchers, People researching womens health options.,07-09-2016 16:12,23-05-2018 11:30
4914, Mens Health Researchers, People researching mens health options.,07-09-2016 16:12,23-05-2018 11:30
4915, Food Allergies Researchers, People researching food allergy treatment and alternative food options.,07-09-2016 16:12,23-05-2018 11:30
4916, Arthritis Sufferers, People researching arthritis trends and treatment options.,07-09-2016 16:12,23-05-2018 11:30
4917, Teen Content Readers, People reading sites featuring fashions for teens.,07-09-2016 16:12,23-05-2018 11:30
4918, Gastrointestinal Researchers, People researching gastrointestinal trends and treatment options.,07-09-2016 16:12,23-05-2018 11:30
4919, Military Families, People reading military publications.,07-09-2016 16:12,23-05-2018 11:30
4920, LGBT Activists, People visiting sites advocating LGBT rights.,07-09-2016 16:12,23-05-2018 11:30
4921, Tire Shoppers, Consumers in-market for vehicle tires.,07-09-2016 16:12,23-05-2018 11:30
4924, Surfers," People reading about surfing sites, techniques and equipment.",07-09-2016 16:12,16-01-2019 09:11
4925, Gun Control Advocates, People visiting sites advocating gun control.,07-09-2016 16:12,23-05-2018 11:30
4926, Gun Rights Advocates, People visiting sites advocating gun rights.,07-09-2016 16:12,23-05-2018 11:30
4927, Immigration Rights Advocates, People visiting sites advocating immigration rights.,07-09-2016 16:12,23-05-2018 11:30
4928, Immigration Control Advocates, People visiting sites advocating immigration control.,07-09-2016 16:12,23-05-2018 11:30
4929, Right Wing Radicals, The Oathkeepers movement.,07-09-2016 16:12,23-05-2018 11:30
4930, Occupy Movement Supporters, People who are interested in the Occupy movement.,07-09-2016 16:12,23-05-2018 11:30
4931, Marijuana Legalization Advocates, People visiting sites advocating the legalization of marijuana.,07-09-2016 16:12,23-05-2018 11:30
4932, Marijuana Prohibition Advocates, People visiting sites advocating the prohibition of marijuana.,07-09-2016 16:12,23-05-2018 11:30
4933, Family Values Advocates, People visiting sites advocating traditional family values.,07-09-2016 16:12,23-05-2018 11:30
4935, Conservative Think Tank Readers, People reading content online related to conservative think tanks.,07-09-2016 16:12,23-05-2018 11:30
4936, Liberal Think Tank Readers, People visiting sites related to liberal think tanks.,07-09-2016 16:12,23-05-2018 11:30
4937, Evangelical Christians, People engaged in Christian online forums.,07-09-2016 16:12,23-05-2018 11:30
4940, Auto-Looking for New Car Purchase or Lease, ,18-10-2016 11:50,07-09-2018 08:06
4943, Online Grocery Shoppers, Consumers purchasing groceries online.,28-10-2016 17:25,23-05-2018 11:30
4944, Pre-Measured Grocery Shoppers, Consumers purchasing groceries through a meal delivery service.,28-10-2016 17:25,23-05-2018 11:30
5895, Cardio Health Researchers, People reading news and advice on preventing and treating cardio health issues.,05-01-2017 17:02,27-12-2017 12:31
5896, Orthopedic Health Researchers, People reading news and advice on preventing and treating orthopedic health issues.,05-01-2017 17:02,27-12-2017 12:31
5897, Orthodontics Researchers, People researching and comparing orthodontic practices and treatments.,05-01-2017 17:02,27-12-2017 12:31
5898, Oncology Researchers, People reading news and advice on preventing and treating cancer.,05-01-2017 17:02,27-12-2017 12:31
5900, Dentures, ,27-01-2017 17:46,27-01-2017 17:46
5901, Diabetes, ,27-01-2017 17:46,27-01-2017 17:46
5904, Truck Drivers, Professionals reading industry news and researching products and services for truck driving and transportation.,16-02-2017 10:24,27-12-2017 16:31
5906, Business Communication Product Researchers, Professionals researching communication and productivity tools.,17-02-2017 12:17,23-05-2018 11:30
5907, Budget Small Business Researchers, Professionals researching budget-friendly options for small businesses.,17-02-2017 12:18,23-05-2018 11:30
5909, Web Design Researchers, Consumers researching creating websites and web design.,17-02-2017 15:23,23-05-2018 11:30
5910, SEO Specialists, Professionals specializing in search engine optimization strategies.,17-02-2017 15:23,23-05-2018 11:30
5911, Credit Score Researchers, People researching and using services to check their credit.,17-02-2017 15:25,27-12-2017 12:31
5913, Spa Goers, Consumers comparing spas and booking appointments online.,17-02-2017 15:42,26-08-2019 11:24
5914, Career Focused Individuals, People researching career development and advancement.,17-02-2017 15:54,23-05-2018 11:30
5916, Shared Work Space Researchers, People researching locations for shared work spaces.,17-02-2017 15:56,07-12-2017 12:35
5917, Caribbean Trip Planners, People researching attractions and accommodations in the Caribbean islands. These consumers are more likely to spend money on travel and local attractions.,17-02-2017 15:57,07-12-2017 12:35
5918, Enterprise Field Services Researchers, Professionals reading industry news on enterprise field services.,17-02-2017 15:58,23-05-2018 11:30
5920, Business Decision Makers, Professionals in leadership positions responsible for making business related decisions.,17-02-2017 16:00,23-05-2018 11:30
5921, Arizona Trip Planners, People researching attractions and accommodations in Arizona. These consumers are more likely to spend money on travel and guided tours.,17-02-2017 16:01,27-12-2017 12:31
5922, Software Directory Researchers, Professionals reading industry news on software directories.,17-02-2017 16:03,23-05-2018 11:30
5924, Cloud Security Researchers, Professionals reading industry news and researching products and services for cloud security.,17-02-2017 16:05,27-12-2017 12:31
5925, Business Incorporating & LLC Filing Researchers, Professionals reading industry news and researching products and services for filing a business or LLC.,17-02-2017 16:05,27-12-2017 12:31
5926, Readers of Data Scientist blogs, Professionals reading industry news about analytics and data science,17-02-2017 16:07,23-05-2018 11:30
5929, Employee Management & HR Researchers, Professionals researching employee management and HR products.,21-02-2017 13:18,23-05-2018 11:30
5930, Tax Filers, Consumers researching products and services to file taxes.,21-02-2017 13:23,07-12-2017 12:35
5933, Supply Chain Professionals, Professionals reading industry news and researching products and services for supply chain.,21-02-2017 13:23,23-05-2018 16:19
5934, Logistics Professionals, Professionals reading industry news and researching products and services for logistics.,21-02-2017 13:23,23-05-2018 16:19
5936, Fishing Enthusiasts, People reading news and techniques on fishing. These consumers are more likely to spend money on fishing gear.,21-02-2017 13:23,07-12-2017 12:35
5938, Costa Rica Trip Planners," People researching attractions and accommodations in Costa Rica. These consumers are more likely to spend money on flights, hotels, and local attractions.",21-02-2017 13:23,07-12-2017 12:35
5942, Tax Policy Researchers, People researching tax policies and refunds. These consumers are more likely to spend money on tax filing products and services.,21-02-2017 13:23,27-12-2017 12:31
5943, Financial News Readers, People reading financial news and following the latest trends.,21-02-2017 13:23,07-12-2017 12:35
5944, Financial Advisors, Professionals reading industry news and trends on finance.,21-02-2017 13:23,07-12-2017 12:35
5945, Parents of High School Students, People researching academic programs and resources for high schoolers.,21-02-2017 13:23,27-12-2017 12:31
5946, Readers of Filipinos Content, People reading news from Filipino media sources.,23-02-2017 10:47,23-05-2018 16:19
5951, Law Enforcement Officers, Professionals reading industry news and researching products and services for law enforcement.,23-02-2017 10:47,27-12-2017 12:31
5952, Australia Trip Planners, People researching attractions and accommodations in Australia. These consumers are more likely to spend money on travel and local attractions.,23-02-2017 10:47,07-12-2017 13:35
5956, Recreational Sports Participants, People registering for recreational sports leagues and programs for adults and kids.,23-02-2017 10:47,16-01-2019 09:11
5957, Online Education Intenders, People researching institutions that offer college classes online. These consumers are more likely to pay for tuition and school supplies.,23-02-2017 10:47,07-12-2017 12:35
5958, Flooring Shoppers, Consumers comparing services and shopping for home flooring products.,23-02-2017 10:47,07-12-2017 12:35
5960, New Zealand Trip Planners," People researching attractions and accommodations in New Zealand. These consumers are more likely to spend money on flights, hotels, and local attractions.",01-03-2017 10:49,07-12-2017 12:35
5961, Business Tax Filers, People researching and comparing products and services to file taxes for businesses.,02-03-2017 16:40,27-12-2017 12:31
5962, New Homeowners, Consumers researching home remodels and decor inspiration.,02-03-2017 17:34,23-05-2018 11:30
5963, Weight Lifting Enthusiasts, People researching weight lifting techniques and trends.,03-03-2017 10:08,16-01-2019 09:11
5967, Online Auto Shoppers, Consumers researching and comparing car sales online.,08-03-2017 09:54,12-03-2018 16:43
5968, Luxury Kitchen Goods Shoppers, Consumers researching and comparing luxury kitchen goods. These consumers are more likely to spend money on home remodeling.,08-03-2017 09:56,27-12-2017 12:31
5969, Luxury Bedding Shoppers, Consumers shopping for luxury bedding.,08-03-2017 09:57,23-05-2018 11:30
5970, Luxury Home Fixture Shoppers, Consumers researching and comparing luxury home fixtures. These consumers are more likely to spend money on home remodeling.,08-03-2017 09:59,27-12-2017 12:31
5971, Readers of Arabic Content, People reading news from Arabic media sources.,13-03-2017 09:59,23-05-2018 16:19
5972, Financial Investors, Consumers reading financial industry news and investment trends.,22-03-2017 12:09,23-05-2018 11:30
5984, Readers of Indian Content, People reading news from Indian media sources.,27-03-2017 16:36,23-05-2018 16:19
5989, Tech News Enthusiasts, Consumers reading the latest technology news and researching new products.,27-03-2017 16:36,07-12-2017 12:35
5991, Gluten-Free Recipe Researchers, People researching and testing gluten-free recipes. These consumers are more likely to spend money at specialty food stores.,27-03-2017 16:36,27-12-2017 12:31
5999, Readers of African American Content, People reading news from African American media sources.,27-03-2017 16:36,17-04-2019 08:49
6006, Breast Cancer Fund Raisers, People raising money for charitable organizations that support breast cancer research.,27-03-2017 16:36,23-05-2018 16:19
6008, Digital Antenna Users, People shopping for digital antennas and researching cutting cable.,27-03-2017 16:36,27-12-2017 12:31
6010, Star Wars Fans," People reading fan sites, promotional material, and news on the Star Wars franchise.",27-03-2017 16:36,07-12-2017 12:35
6013, Competitive Sports Participants," People registering for competitive sports leagues, races, and events for adults.",27-03-2017 16:36,16-01-2019 09:11
6023, Sports Medicine Health Care Professionals, Professionals reading industry news and researching products and services for sports medicine.,27-03-2017 16:36,23-05-2018 16:19
